Loan_ID,loan_status
xqd20166231,PAIDOFF
xqd20168902,PAIDOFF
xqd20160003,PAIDOFF
xqd20160004,PAIDOFF
xqd20160005,PAIDOFF
xqd20160706,PAIDOFF
xqd20160007,PAIDOFF
xqd20160008,PAIDOFF
xqd20160909,PAIDOFF
xqd20160010,PAIDOFF
xqd20160011,PAIDOFF
xqd20160012,PAIDOFF
xqd20160013,PAIDOFF
xqd20160014,PAIDOFF
xqd20160015,PAIDOFF
xqd20160016,PAIDOFF
xqd20160017,PAIDOFF
xqd20160018,PAIDOFF
xqd20160019,PAIDOFF
xqd20160020,PAIDOFF
xqd20160021,PAIDOFF
xqd20160022,PAIDOFF
xqd20160023,PAIDOFF
xqd20160024,PAIDOFF
xqd20160025,PAIDOFF
xqd20160026,PAIDOFF
xqd20160027,PAIDOFF
xqd20170088,PAIDOFF
xqd20160029,PAIDOFF
xqd20160030,PAIDOFF
xqd88160031,PAIDOFF
xqd20160032,PAIDOFF
xqd20160033,PAIDOFF
xqd22169034,PAIDOFF
xqd20160035,PAIDOFF
xqd20160036,PAIDOFF
xqd20160037,PAIDOFF
xqd20160038,PAIDOFF
xqd20160039,PAIDOFF
xqd20160040,PAIDOFF
xqd20160041,PAIDOFF
xqd20160042,PAIDOFF
xqd20160043,PAIDOFF
xqd20160044,PAIDOFF
xqd20160045,PAIDOFF
xqd20160046,PAIDOFF
xqd20160047,PAIDOFF
xqd20160048,PAIDOFF
xqd20160049,PAIDOFF
xqd20160050,PAIDOFF
xqd20160051,PAIDOFF
xqd20160052,PAIDOFF
xqd20160053,PAIDOFF
xqd20160054,PAIDOFF
xqd20160055,PAIDOFF
xqd20160056,PAIDOFF
xqd20160057,PAIDOFF
xqd20160058,PAIDOFF
xqd20160059,PAIDOFF
xqd20160060,PAIDOFF
xqd20160061,PAIDOFF
xqd20160062,PAIDOFF
xqd20160063,PAIDOFF
xqd20160064,PAIDOFF
xqd20160065,PAIDOFF
xqd20160066,PAIDOFF
xqd20160067,PAIDOFF
xqd20160068,PAIDOFF
xqd20160069,PAIDOFF
xqd20160070,PAIDOFF
xqd20160071,PAIDOFF
xqd20160072,PAIDOFF
xqd20160073,PAIDOFF
xqd20160074,PAIDOFF
xqd20160075,PAIDOFF
xqd20160076,PAIDOFF
xqd20160077,PAIDOFF
xqd20160078,PAIDOFF
xqd20160079,PAIDOFF
xqd20160080,PAIDOFF
xqd20160081,PAIDOFF
xqd20160082,PAIDOFF
xqd20160083,PAIDOFF
xqd20160084,PAIDOFF
xqd20160085,PAIDOFF
xqd20160086,PAIDOFF
xqd20160087,PAIDOFF
xqd20160088,PAIDOFF
xqd20160089,PAIDOFF
xqd90160090,PAIDOFF
xqd91160291,PAIDOFF
xqd90160092,PAIDOFF
xqd90163093,PAIDOFF
xqd20160094,PAIDOFF
xqd20167095,PAIDOFF
xqd20160096,PAIDOFF
xqd20160097,PAIDOFF
xqd20160098,PAIDOFF
xqd20160099,PAIDOFF
xqd20160100,PAIDOFF
xqd20160101,PAIDOFF
xqd20160102,PAIDOFF
xqd20160103,PAIDOFF
xqd20160104,PAIDOFF
xqd20160105,PAIDOFF
xqd20160106,PAIDOFF
xqd20160107,PAIDOFF
xqd20160108,PAIDOFF
xqd20160109,PAIDOFF
xqd20160110,PAIDOFF
xqd20160111,PAIDOFF
xqd20160112,PAIDOFF
xqd20160113,PAIDOFF
xqd20160114,PAIDOFF
xqd20160115,PAIDOFF
xqd20160116,PAIDOFF
xqd20160117,PAIDOFF
xqd20160118,PAIDOFF
xqd20160119,PAIDOFF
xqd20160120,PAIDOFF
xqd20160121,PAIDOFF
xqd20160122,PAIDOFF
xqd20160123,PAIDOFF
xqd20160124,PAIDOFF
xqd20160125,PAIDOFF
xqd20160126,PAIDOFF
xqd20160127,PAIDOFF
xqd20160128,PAIDOFF
xqd78160129,PAIDOFF
xqd20160130,PAIDOFF
xqd20160131,PAIDOFF
xqd20160132,PAIDOFF
xqd20160133,PAIDOFF
xqd20160134,PAIDOFF
xqd20160135,PAIDOFF
xqd20160136,PAIDOFF
xqd20160137,PAIDOFF
xqd20160138,PAIDOFF
xqd20160139,PAIDOFF
xqd56160140,PAIDOFF
xqd20160141,PAIDOFF
xqd20160142,PAIDOFF
xqd20160143,PAIDOFF
xqd20160144,PAIDOFF
xqd20160145,PAIDOFF
xqd20160146,PAIDOFF
xqd20160147,PAIDOFF
xqd20160148,PAIDOFF
xqd20160149,PAIDOFF
xqd20160150,PAIDOFF
xqd20160151,PAIDOFF
xqd34160152,PAIDOFF
xqd20160153,PAIDOFF
xqd20160154,PAIDOFF
xqd20160155,PAIDOFF
xqd20160156,PAIDOFF
xqd20160157,PAIDOFF
xqd20160158,PAIDOFF
xqd12160159,PAIDOFF
xqd20160160,PAIDOFF
xqd20160161,PAIDOFF
xqd20160162,PAIDOFF
xqd20160163,PAIDOFF
xqd28160164,PAIDOFF
xqd20160165,PAIDOFF
xqd20160166,PAIDOFF
xqd20160167,PAIDOFF
xqd20160168,PAIDOFF
xqd20160169,PAIDOFF
xqd27160170,PAIDOFF
xqd20160171,PAIDOFF
xqd20160172,PAIDOFF
xqd20160173,PAIDOFF
xqd20160174,PAIDOFF
xqd20160175,PAIDOFF
xqd20160176,PAIDOFF
xqd20160177,PAIDOFF
xqd20160178,PAIDOFF
xqd20160179,PAIDOFF
xqd20160180,PAIDOFF
xqd20160181,PAIDOFF
xqd20160182,PAIDOFF
xqd20160183,PAIDOFF
xqd20160184,PAIDOFF
xqd20160185,PAIDOFF
xqd20160186,PAIDOFF
xqd20160187,PAIDOFF
xqd20160188,PAIDOFF
xqd20160189,PAIDOFF
xqd20160190,PAIDOFF
xqd20160191,PAIDOFF
xqd20160192,PAIDOFF
xqd20160193,PAIDOFF
xqd20160194,PAIDOFF
xqd20160195,PAIDOFF
xqd20160196,PAIDOFF
xqd20160197,PAIDOFF
xqd20160198,PAIDOFF
xqd20160199,PAIDOFF
xqd20160200,PAIDOFF
xqd20160201,PAIDOFF
xqd20160202,PAIDOFF
xqd20160203,PAIDOFF
xqd20160204,PAIDOFF
xqd20160205,PAIDOFF
xqd20160206,PAIDOFF
xqd20160207,PAIDOFF
xqd20160208,PAIDOFF
xqd20160209,PAIDOFF
xqd20160210,PAIDOFF
xqd20160211,PAIDOFF
xqd20160212,PAIDOFF
xqd20160213,PAIDOFF
xqd20160214,PAIDOFF
xqd20160215,PAIDOFF
xqd20160216,PAIDOFF
xqd20160217,PAIDOFF
xqd20160218,PAIDOFF
xqd20160219,PAIDOFF
xqd20160220,PAIDOFF
xqd20160221,PAIDOFF
xqd20160222,PAIDOFF
xqd20160223,PAIDOFF
